runge with =None
+-------------+----------------------+-------------------------+------------------------+------------------------------------+
| Num samples | Initial num of knots | Best num interior knots |    Cubic tolerance     | Error between cubic and lsq spline |
+-------------+----------------------+-------------------------+------------------------+------------------------------------+
|      17     |          17          |            7            | 0.0037453310485127123  |       0.0034802304008182128        |
|      18     |          18          |            6            |  0.01930424872622183   |        0.007829160315094452        |
|      19     |          19          |            9            |  0.003717218316836357  |        0.002011494135875702        |
|      20     |          20          |            6            |  0.012329494431740251  |        0.011248474295203204        |
|      21     |          21          |            9            |  0.00318284735713259   |       0.0030696077683251277        |
|      22     |          22          |            8            |  0.008047718275083104  |        0.005899504190775229        |
|      23     |          23          |            11           |  0.002529208148215112  |       0.0014983098979303444        |
|      24     |          24          |            8            |  0.005368485194221173  |       0.0036249866151328858        |
|      25     |          25          |            13           | 0.0019246829298820156  |        0.000860914783936767        |
|      26     |          26          |            10           | 0.0036593784787064543  |        0.001861196656148617        |
|      27     |          27          |            13           |  0.001426673644279619  |       0.0012942985058371492        |
|      28     |          28          |            10           |  0.002547821932304739  |        0.002514058289371651        |
|      29     |          29          |            13           |  0.00103904314557568   |       0.0008091267375705258        |
|      30     |          30          |            14           | 0.0018108107651770844  |       0.0014160808071221886        |
|      31     |          31          |            17           | 0.0008240035991815553  |       0.0005140766047912748        |
|      32     |          32          |            14           |  0.001312716185023155  |       0.0009265093060029095        |
|      33     |          33          |            19           | 0.0006545789312835115  |       0.0003463855586638698        |
|      34     |          34          |            16           | 0.0009697148773969433  |       0.0006110409184696547        |
|      35     |          35          |            19           | 0.0005227959259974657  |       0.0005052380273213863        |
|      36     |          36          |            20           | 0.0007291600825908295  |       0.00042236084141923647       |
|      37     |          37          |            19           | 0.0004202317044814663  |       0.0003558433127901772        |
|      38     |          38          |            22           | 0.0005574495201720042  |       0.0003017737987682373        |
|      39     |          39          |            23           | 0.00034051392933787117 |       0.0002575084544121087        |
|      40     |          40          |            20           | 0.00043278976775973366 |       0.00042136253083541186       |
|      41     |          41          |            25           | 0.0002779622173971763  |       0.00019087714386709087       |
|      42     |          42          |            24           | 0.0003408199748533569  |       0.0003109684566070664        |
|      43     |          43          |            27           | 0.00022827357317256602 |       0.0001444134488567672        |
|      44     |          44          |            26           | 0.0002719275986138303  |       0.00023437413680221786       |
|      45     |          45          |            27           | 0.00018870337033050077 |       0.00011121154082695262       |
|      46     |          46          |            28           | 0.00021957875344569278 |       0.00017993975116825656       |
|      47     |          47          |            31           | 0.00015766791177718176 |       8.705842465735192e-05        |
|      48     |          48          |            28           | 0.00017926507408261294 |       0.00014037710942477188       |
|      49     |          49          |            31           | 0.00013188472675784713 |       0.00012464703851457204       |
|      50     |          50          |            32           | 0.0001478301719622932  |       0.00011107973565335771       |
|      51     |          51          |            33           | 0.00011188513183302273 |        9.92920811138942e-05        |
|      52     |          52          |            34           | 0.00012303290530746303 |       8.904850685606536e-05        |
|      53     |          53          |            35           | 9.487451494605281e-05  |       8.007357750748623e-05        |
|      54     |          54          |            36           | 0.00010326033287122449 |       7.219980780624746e-05        |
|      55     |          55          |            37           | 8.134736300502432e-05  |       6.527299263515973e-05        |
|      56     |          56          |            36           |  8.73365139076876e-05  |       5.915357352428985e-05        |
|      57     |          57          |            39           | 7.000144417446119e-05  |       5.371706747298033e-05        |
|      58     |          58          |            40           | 7.439347334559088e-05  |       4.8916009054267295e-05       |
|      59     |          59          |            39           | 6.0236531960411455e-05 |       4.462860353053599e-05        |
|      60     |          60          |            42           | 6.378300030374096e-05  |       4.080334412170927e-05        |
|      61     |          61          |            43           | 5.262245195858384e-05  |       3.736099825472905e-05        |
|      62     |          62          |            44           | 5.501560380238857e-05  |       3.430316584930593e-05        |
|      63     |          63          |            45           | 4.5963789569336555e-05 |       3.154054758436331e-05        |
|      64     |          64          |            46           | 4.7717751562093014e-05 |       2.9045975712682637e-05       |
|      65     |          65          |            47           | 4.013068074781856e-05  |       2.6792851754164904e-05       |
|      66     |          66          |            48           | 4.160156501986645e-05  |       2.475560772299823e-05        |
|      67     |          67          |            49           | 3.5401363615572556e-05 |       2.2910035777617965e-05       |
|      68     |          68          |            48           | 3.644309972039572e-05  |       3.553893612240344e-05        |
|      69     |          69          |            51           | 3.140364006992691e-05  |       1.9705142251774665e-05       |
|      70     |          70          |            48           | 3.2066610126446626e-05 |       3.055594119828753e-05        |
|      71     |          71          |            53           | 2.7855561695711017e-05 |       1.7032958482265936e-05       |
|      72     |          72          |            52           | 2.833303157501188e-05  |       2.631560567571689e-05        |
|      73     |          73          |            53           | 2.4701757035616723e-05 |       2.4538500677517838e-05       |
|      74     |          74          |            54           | 2.513146544347311e-05  |       2.2890736488687113e-05       |
|      75     |          75          |            55           | 2.200492190196357e-05  |       2.1369665711631902e-05       |
|      76     |          76          |            56           | 2.237282481909464e-05  |       1.9966550340241862e-05       |
|      77     |          77          |            57           | 1.9826434258907177e-05 |       1.866842810920033e-05        |
|      78     |          78          |            58           | 1.9985049659387855e-05 |       1.745968142861931e-05        |
|      79     |          79          |            59           | 1.7865961263963115e-05 |       1.6364761713183462e-05       |
|      80     |          80          |            60           | 1.790947280200239e-05  |       1.5392565726315977e-05       |
|      81     |          81          |            59           | 1.6099254590007384e-05 |       1.4468722891403107e-05       |
|      82     |          82          |            62           |  1.60980374540598e-05  |       1.3573691701074253e-05       |
|      83     |          83          |            63           | 1.4505173274281802e-05 |       1.2787834937563747e-05       |
|      84     |          84          |            64           | 1.451115008321846e-05  |       1.2061509292379813e-05       |
|      85     |          85          |            65           | 1.306523330402154e-05  |       1.1327301698865755e-05       |
|      86     |          86          |            66           | 1.3116011367220182e-05 |       1.0734198845230303e-05       |
|      87     |          87          |            67           | 1.1855987905207144e-05 |       1.0089698122786595e-05       |
|      88     |          88          |            68           | 1.1885309649573017e-05 |        9.58240567669466e-06        |
|      89     |          89          |            69           |   1.085245937682e-05   |       9.033540728745071e-06        |
|      90     |          90          |            70           | 1.0796191335815664e-05 |       8.574406027972437e-06        |
|      91     |          91          |            71           | 9.935560877138983e-06  |       8.124253581820451e-06        |
|      92     |          92          |            70           | 9.829444380216046e-06  |       7.667977635003598e-06        |
|      93     |          93          |            73           | 9.096897099492018e-06  |       7.307077131077366e-06        |
|      94     |          94          |            74           |  8.96884685097632e-06  |       6.9400436379651875e-06       |
|      95     |          95          |            73           | 8.329018833741486e-06  |       6.5740972731570535e-06       |
|      96     |          96          |            76           | 8.200644209921393e-06  |       6.2442518631578015e-06       |
|      97     |          97          |            77           | 7.625301016722652e-06  |       5.957067785028469e-06        |
|      98     |          98          |            78           | 7.5131275830697675e-06 |       5.675741345176344e-06        |
|      99     |          99          |            79           | 6.979838390375193e-06  |       5.403360040942551e-06        |
|     100     |         100          |            80           |  6.89629173444839e-06  |        5.14220635755569e-06        |
+-------------+----------------------+-------------------------+------------------------+------------------------------------+
