sinus results
+-------------+----------------------+-------------------------+------------------------+
| Num samples | Initial num of knots | Best num interior knots |       Tolerance        |
+-------------+----------------------+-------------------------+------------------------+
|      20     |          6           |            3            |  0.03261922100520176   |
|      20     |          7           |            4            |  0.022661827056581596  |
|      20     |          8           |            5            |  0.013951406508261655  |
|      20     |          9           |            6            | 0.0037947982920050194  |
|      20     |          10          |            7            |  0.004964340236735532  |
|      20     |          11          |            8            | 0.0022575835116527276  |
|      20     |          12          |            9            |  0.002101804671659546  |
|      20     |          13          |            10           | 0.0005296386799996666  |
|      20     |          14          |            11           | 0.0003614875494491465  |
|      20     |          15          |            12           | 0.00018956588288121523 |
|      20     |          16          |            13           |  0.001034161324656141  |
|      30     |          10          |            8            | 0.00038013136447767604 |
|      30     |          11          |            8            | 0.00022830880573654344 |
|      30     |          12          |            10           | 0.00015470773953296657 |
|      30     |          13          |            10           | 0.00010903567948239434 |
|      30     |          14          |            12           | 7.585294125833641e-05  |
|      30     |          15          |            12           |  5.84437192588938e-05  |
|      30     |          16          |            13           | 0.00016532973165872544 |
|      30     |          17          |            14           | 3.483620068978066e-05  |
|      30     |          18          |            15           | 0.00046087134657590845 |
|      30     |          19          |            16           | 3.107469932051021e-05  |
|      30     |          20          |            14           | 5.6156909239046815e-05 |
|      30     |          21          |            16           | 4.270502875036719e-05  |
|      30     |          22          |            19           | 0.00018035263034876792 |
|      30     |          23          |            16           | 9.008823816938905e-05  |
|      30     |          24          |            21           | 0.00013168429965303152 |
|      30     |          25          |            18           | 5.776097888277043e-05  |
|      30     |          26          |            18           | 7.518564983333142e-05  |
|      40     |          13          |            11           | 0.00010846547629694836 |
|      40     |          14          |            12           | 7.357439931243714e-05  |
|      40     |          15          |            12           | 5.799537273176725e-05  |
|      40     |          16          |            14           | 4.640953288370664e-05  |
|      40     |          17          |            14           |  3.38309070617715e-05  |
|      40     |          18          |            12           | 9.579048626556785e-05  |
|      40     |          19          |            14           | 7.295091012067545e-05  |
|      40     |          20          |            14           | 5.665513503316788e-05  |
|      40     |          21          |            16           | 4.487412712049499e-05  |
|      40     |          22          |            16           | 3.5260513794252435e-05 |
|      40     |          23          |            16           |  9.03798953878765e-05  |
|      40     |          24          |            18           | 2.1575045591568087e-05 |
|      40     |          25          |            18           | 5.829112620753252e-05  |
|      40     |          26          |            20           | 1.3967449697602219e-05 |
|      40     |          27          |            14           | 7.605645608710354e-05  |
|      40     |          28          |            18           | 9.250582921105366e-05  |
|      40     |          29          |            22           | 2.8689747623489303e-05 |
|      40     |          30          |            20           | 4.7225260337777075e-05 |
|      40     |          31          |            24           | 1.8963296854690448e-05 |
|      40     |          32          |            22           | 2.5942916519361425e-05 |
|      40     |          33          |            24           | 9.054531897345619e-05  |
|      40     |          34          |            20           | 3.489804664424945e-05  |
|      40     |          35          |            24           | 6.443172163328459e-05  |
|      40     |          36          |            26           | 2.5947182006436087e-05 |
|      50     |          16          |            14           | 4.3566282123097544e-05 |
|      50     |          17          |            14           | 3.398845784274851e-05  |
|      50     |          18          |            12           | 9.571867335547712e-05  |
|      50     |          19          |            16           | 2.088943056299808e-05  |
|      50     |          20          |            16           | 5.014179244711148e-05  |
|      50     |          21          |            18           | 1.3628299607049144e-05 |
|      50     |          22          |            18           |  3.05043213593148e-05  |
|      50     |          23          |            18           | 9.186854536713529e-05  |
|      50     |          24          |            18           | 2.1742088119308667e-05 |
|      50     |          25          |            20           | 1.7954959676713678e-05 |
|      50     |          26          |            18           | 9.231850275634446e-05  |
|      50     |          27          |            18           | 6.523377343337078e-05  |
