sinus plus x results
+-------------+----------------------+-------------------------+------------------------+
| Num samples | Initial num of knots | Best num interior knots |       Tolerance        |
+-------------+----------------------+-------------------------+------------------------+
|      20     |          6           |            4            |  0.06299556967567044   |
|      20     |          7           |            4            |  0.05727261487624036   |
|      20     |          8           |            6            |  0.023355682075346662  |
|      20     |          9           |            6            |  0.011761797809113572  |
|      20     |          10          |            8            |  0.006325987006958522  |
|      20     |          11          |            8            |  0.004082763927878874  |
|      20     |          12          |            10           |  0.003367073052762626  |
|      20     |          13          |            10           |  0.004085104922356253  |
|      20     |          14          |            12           |  0.004854422225418764  |
|      20     |          15          |            12           |  0.005372053285884526  |
|      20     |          16          |            14           | 0.0042840459581183765  |
|      30     |          10          |            8            |  0.006481359279031151  |
|      30     |          11          |            9            | 0.0037250115432490016  |
|      30     |          12          |            10           | 0.0025567373414994155  |
|      30     |          13          |            11           | 0.0016229575714302724  |
|      30     |          14          |            12           | 0.0013006093806742225  |
|      30     |          15          |            12           |  0.000962368030690941  |
|      30     |          16          |            14           | 0.0006986809691503781  |
|      30     |          17          |            14           | 0.0006308066320177552  |
|      30     |          18          |            14           | 0.0005795404567703333  |
|      30     |          19          |            16           | 0.0005512790743347207  |
|      30     |          20          |            18           | 0.0006945648322096432  |
|      30     |          21          |            16           | 0.0009225048170089512  |
|      30     |          22          |            16           | 0.0008034885377934398  |
|      30     |          23          |            18           | 0.0005104330907974575  |
|      30     |          24          |            14           | 0.0005753716594449898  |
|      30     |          25          |            16           | 0.0009224344271376861  |
|      30     |          26          |            18           | 0.00031255019592735245 |
|      40     |          13          |            11           | 0.0017354991488895966  |
|      40     |          14          |            12           | 0.0012094103859441319  |
|      40     |          15          |            12           | 0.0009043791310764382  |
|      40     |          16          |            14           | 0.0006774712835461161  |
|      40     |          17          |            14           | 0.0005014453546476894  |
|      40     |          18          |            14           | 0.0005111251769787106  |
|      40     |          19          |            16           | 0.00033482913112081736 |
|      40     |          20          |            18           | 0.00027104733964300465 |
|      40     |          21          |            16           | 0.0005377331118097128  |
|      40     |          22          |            16           | 0.0007687493678695811  |
|      40     |          23          |            18           |  0.000323101491175648  |
|      40     |          24          |            14           | 0.0007294794101375679  |
|      40     |          25          |            18           | 0.0009843120896549928  |
|      40     |          26          |            20           | 0.00032051562958762547 |
|      40     |          27          |            20           | 0.0009965937405596037  |
|      40     |          28          |            20           | 0.00031214880524488287 |
|      40     |          29          |            18           | 0.0007126683647415977  |
|      40     |          30          |            18           | 0.0008011015638018648  |
|      40     |          31          |            18           | 0.0006319689387985772  |
|      40     |          32          |            22           | 0.00020319674582158775 |
|      40     |          33          |            20           | 0.0009663062583595838  |
|      40     |          34          |            20           | 0.0004828293590242172  |
|      40     |          35          |            22           | 0.00036830960494516063 |
|      40     |          36          |            20           | 0.0009353227139325959  |
|      50     |          16          |            14           | 0.0006913080320122278  |
|      50     |          17          |            14           | 0.0005152380661029854  |
|      50     |          18          |            14           | 0.0004809113470243265  |
|      50     |          19          |            16           | 0.00031832817608323793 |
|      50     |          20          |            18           | 0.0002472706053426865  |
|      50     |          21          |            16           | 0.0005318686792081806  |
|      50     |          22          |            16           | 0.0007747511420813091  |
|      50     |          23          |            18           | 0.0003373897480780652  |
